Account|Name|AccountType
1176|Rezultatul reportat provenit din trecerea la aplicarea reglementărilor contabile conforme cu directivele europene|Bifunctional
12|Rezultatul exerciţiului financiar|Nespecificat
121|Profit sau pierdere|Bifunctional
129|Repartizarea profitului|Activ
14|Câştiguri sau pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii|Nespecificat
141|Câştiguri legate de vânzarea sau anularea instrumentelor de capitaluri proprii|Nespecificat
1411|Câştiguri legate de vânzarea instrumentelor de capitaluri proprii|Pasiv
1412|Câştiguri legate de anularea instrumentelor de capitaluri proprii|Pasiv
149|Pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii|Nespecificat
1491|Pierderi rezultate din vânzarea instrumentelor de capitaluri proprii|Activ
1495|Pierderi rezultate din reorganizări, care sunt determinate de anularea titlurilor deţinute|Activ
1498|Alte pierderi legate de instrumentele de capitaluri proprii|Activ
15|Provizioane|Nespecificat
151|Provizioane|Nespecificat
1511|Provizioane pentru litigii|Pasiv
1512|Provizioane pentru garanţii acordate clienţilor|Pasiv
1513|Provizioane pentru dezafectare imobilizări corporale şi alte acţiuni similare legate de acestea|Pasiv
1514|Provizioane pentru restructurare|Pasiv
1515|Provizioane pentru pensii şi obligaţii similare|Pasiv
1516|Provizioane pentru impozite|Pasiv
1517|Provizioane pentru terminarea contractului de muncă|Pasiv
1518|Alte provizioane|Pasiv
16|Împrumuturi şi datorii asimilate|Nespecificat
161|Împrumuturi din emisiuni de obligaţiuni|Nespecificat
1614|Împrumuturi externe din emisiuni de obligaţiuni garantate de stat|Pasiv
1615|Împrumuturi externe din emisiuni de obligaţiuni garantate de bănci|Pasiv
1617|Împrumuturi interne din emisiuni de obligaţiuni garantate de stat|Pasiv
1618|Alte împrumuturi din emisiuni de obligaţiuni|Pasiv
162|Credite bancare pe termen lung|Nespecificat
1621|Credite bancare pe termen lung|Pasiv
1622|Credite bancare pe termen lung nerambursate la scadenţă|Pasiv
1623|Credite externe guvernamentale|Pasiv
1624|Credite bancare externe garantate de stat|Pasiv
1625|Credite bancare externe garantate de bănci|Pasiv
1626|Credite de la trezoreria statului|Pasiv
1627|Credite bancare interne garantate de stat|Pasiv
166|Datorii care privesc imobilizările financiare|Nespecificat
1661|Datorii faţă de entităţile afiliate|Pasiv
1663|Datorii faţă de entităţile asociate şi entităţile controlate în comun|Pasiv
167|Alte împrumuturi şi datorii asimilate|Pasiv
168|Dobânzi aferente împrumuturilor şi datoriilor asimilate|Nespecificat
1681|Dobânzi aferente împrumuturilor din emisiuni de obligaţiuni|Pasiv
1682|Dobânzi aferente creditelor bancare pe termen lung|Pasiv
1685|Dobânzi aferente datoriilor faţă de entităţile afiliate|Pasiv
1686|Dobânzi aferente datoriilor faţă de entităţile asociate şi entităţile controlate în comun|Pasiv
1687|Dobânzi aferente altor împrumuturi şi datorii asimilate|Pasiv
169|Prime privind rambursarea obligaţiunilor şi a altor datorii|Nespecificat
1691|Prime privind rambursarea obligaţiunilor|Activ
1692|Prime privind rambursarea altor datorii|Activ
2|Conturi de imobilizări|Nespecificat
20|Imobilizări necorporale|Nespecificat
201|Cheltuieli de constituire|Activ
203|Cheltuieli de dezvoltare|Activ
205|Concesiuni, brevete, licenţe, mărci comerciale, drepturi şi active similare|Activ
206|Active necorporale de explorare şi evaluare a resurselor minerale|Activ
207|Fond comercial|Nespecificat
2071|Fond comercial pozitiv|Activ
2075|Fond comercial negativ|Pasiv
208|Alte imobilizări necorporale|Activ
21|Imobilizări corporale|Nespecificat
211|Terenuri şi amenajări de terenuri|Activ
2111|Terenuri|Nespecificat
2112|Amenajări de terenuri|Nespecificat
212|Construcţii|Activ
213|Instalaţii tehnice şi mijloace de transport|Nespecificat
2131|Echipamente tehnologice (maşini, utilaje şi instalaţii de lucru)|Activ
2132|Aparate şi instalaţii de măsurare, control şi reglare|Activ
2133|Mijloace de transport|Activ
214|Mobilier, aparatură birotică, echipamente de protecţie a valorilor umane şi materiale şi alte active corporale|Activ
215|Investiţii imobiliare|Activ
216|Active corporale de explorare şi evaluare a resurselor minerale|Activ
217|Active biologice productive|Activ
22|Imobilizări corporale în curs de aprovizionare|Nespecificat
223|Instalaţii tehnice şi mijloace de transport în curs de aprovizionare|Activ
224|Mobilier, aparatură birotică, echipamente de protecţie a valorilor umane şi materiale şi alte active corporale în curs de aprovizionare|Activ
227|Active biologice productive în curs de aprovizionare|Activ
23|Imobilizări în curs|Nespecificat
231|Imobilizări corporale în curs de execuţie|Activ
235|Investiţii imobiliare în curs de execuţie|Activ
26|Imobilizări financiare|Nespecificat
261|Acţiuni deţinute la entităţile afiliate|Activ
262|Acţiuni deţinute la entităţi asociate|Activ
263|Acţiuni deţinute la entităţi controlate în comun|Activ
264|Titluri puse în echivalenţă|Activ
265|Alte titluri imobilizate|Activ
266|Certificate verzi amânate|Activ
267|Creanţe imobilizate|Nespecificat
2671|Sume de încasat de la entităţile afiliate|Activ
2672|Dobânda aferentă sumelor de încasat de la entităţile afiliate|Activ
2673|Creanţe faţă de entităţile asociate şi entităţile controlate în comun|Activ
2674|Dobânda aferentă creanţelor faţă de entităţile asociate şi entităţile controlate în comun|Activ
2675|Împrumuturi acordate pe termen lung|Activ
2676|Dobânda aferentă împrumuturilor acordate pe termen lung|Activ
2677|Obligaţiuni achiziţionate cu ocazia emisiunilor efectuate de terţi|Activ
2678|Alte creanţe imobilizate|Activ
2679|Dobânzi aferente altor creanţe imobilizate|Activ
269|Vărsăminte de efectuat pentru imobilizări financiare|Nespecificat
2691|Vărsăminte de efectuat privind acţiunile deţinute la entităţile afiliate|Pasiv
2692|Vărsăminte de efectuat privind acţiunile deţinute la entităţi asociate|Pasiv
2693|Vărsăminte de efectuat privind acţiunile deţinute la entităţi controlate în comun|Pasiv
2695|Vărsăminte de efectuat pentru alte imobilizări financiare|Pasiv
28|Amortizări privind imobilizările|Nespecificat
280|Amortizări privind imobilizările necorporale|Nespecificat
2801|Amortizarea cheltuielilor de constituire|Pasiv
2803|Amortizarea cheltuielilor de dezvoltare|Pasiv
2805|Amortizarea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare|Pasiv
2806|Amortizarea activelor necorporale de explorare şi evaluare a resurselor minerale|Pasiv
2807|Amortizarea fondului comercial|Pasiv
2808|Amortizarea altor imobilizări necorporale|Pasiv
281|Amortizări privind imobilizările corporale|Nespecificat
2811|Amortizarea amenajărilor de terenuri|Pasiv
2812|Amortizarea construcţiilor|Pasiv
2813|Amortizarea instalaţiilor şi mijloacelor de transport|Pasiv
2814|Amortizarea altor imobilizări corporale|Pasiv
2815|Amortizarea investiţiilor imobiliare|Pasiv
2816|Amortizarea activelor corporale de explorare şi evaluare a resurselor minerale|Pasiv
2817|Amortizarea activelor biologice productive|Pasiv
29|Ajustări pentru deprecierea sau pierderea de valoare a imobilizărilor|Nespecificat
290|Ajustări pentru deprecierea imobilizărilor necorporale|Nespecificat
2903|Ajustări pentru deprecierea cheltuielilor de dezvoltare|Pasiv
2905|Ajustări pentru deprecierea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare|Pasiv
2906|Ajustări pentru deprecierea activelor necorporale de explorare şi evaluare a resurselor minerale|Pasiv
2908|Ajustări pentru deprecierea altor imobilizări necorporale|Pasiv
291|Ajustări pentru deprecierea imobilizărilor corporale|Nespecificat
2911|Ajustări pentru deprecierea terenurilor şi amenajărilor de terenuri|Pasiv
2912|Ajustări pentru deprecierea construcţiilor|Pasiv
2913|Ajustări pentru deprecierea instalaţiilor şi mijloacelor de transport|Pasiv
2914|Ajustări pentru deprecierea altor imobilizări corporale|Pasiv
2915|Ajustări pentru deprecierea investiţiilor imobiliare|Pasiv
2916|Ajustări pentru deprecierea activelor corporale de explorare şi evaluare a resurselor minerale|Pasiv
2917|Ajustări pentru deprecierea activelor biologice productive|Pasiv
293|Ajustări pentru deprecierea imobilizărilor în curs de execuţie|Nespecificat
2931|Ajustări pentru deprecierea imobilizărilor corporale în curs de execuţie|Pasiv
2935|Ajustări pentru deprecierea investiţiilor imobiliare în curs de execuţie|Pasiv
296|Ajustări pentru pierderea de valoare a imobilizărilor financiare|Nespecificat
2961|Ajustări pentru pierderea de valoare a acţiunilor deţinute la entităţile afiliate|Pasiv
2962|Ajustări pentru pierderea de valoare a acţiunilor deţinute la entităţi asociate şi entităţi controlate în comun|Pasiv
2963|Ajustări pentru pierderea de valoare a altor titluri imobilizate|Pasiv
2964|Ajustări pentru pierderea de valoare a sumelor de încasat de la entităţile afiliate|Pasiv
2965|Ajustări pentru pierderea de valoare a creanţelor faţă de entităţile asociate şi entităţile controlate în comun|Pasiv
2966|Ajustări pentru pierderea de valoare a împrumuturilor acordate pe termen lung|Pasiv
2968|Ajustări pentru pierderea de valoare a altor creanţe imobilizate|Pasiv
3|Conturi de stocuri şi producţie în curs de execuţie|Nespecificat
30|Stocuri de materii prime şi materiale|Nespecificat
301|Materii prime|Activ
302|Materiale consumabile|Nespecificat
3021|Materiale auxiliare|Activ
3022|Combustibili|Activ
3023|Materiale pentru ambalat|Activ
3024|Piese de schimb|Activ
3025|Seminţe şi materiale de plantat|Activ
3026|Furaje|Activ
3028|Alte materiale consumabile|Activ
303|Materiale de natura obiectelor de inventar|Activ
308|Diferenţe de preţ la materii prime şi materiale|Bifunctional
32|Stocuri în curs de aprovizionare|Nespecificat
321|Materii prime în curs de aprovizionare|Activ
322|Materiale consumabile în curs de aprovizionare|Activ
323|Materiale de natura obiectelor de inventar în curs de aprovizionare|Activ
326|Active biologice de natura stocurilor în curs de aprovizionare|Activ
327|Mărfuri în curs de aprovizionare|Activ
328|Ambalaje în curs de aprovizionare|Activ
33|Producţie în curs de execuţie|Nespecificat
331|Produse în curs de execuţie|Activ
332|Servicii în curs de execuţie|Activ
34|Produse|Nespecificat
341|Semifabricate|Activ
345|Produse finite|Activ
346|Produse reziduale|Activ
347|Produse agricole|Activ
348|Diferenţe de preţ la produse|Bifunctional
35|Stocuri aflate la terţi|Nespecificat
351|Materii şi materiale aflate la terţi|Activ
354|Produse aflate la terţi|Activ
356|Active biologice de natura stocurilor aflate la terţi|Activ
357|Mărfuri aflate la terţi|Activ
358|Ambalaje aflate la terţi|Activ
36|Active biologice de natura stocurilor|Nespecificat
361|Active biologice de natura stocurilor|Activ
368|Diferenţe de preţ la active biologice de natura stocurilor|Bifunctional
37|Mărfuri|Nespecificat
371|Mărfuri|Activ
378|Diferenţe de preţ la mărfuri|Bifunctional
38|Ambalaje|Nespecificat
381|Ambalaje|Activ
388|Diferenţe de preţ la ambalaje|Bifunctional
39|Ajustări pentru deprecierea stocurilor şi producţiei în curs de execuţie|Nespecificat
391|Ajustări pentru deprecierea materiilor prime|Pasiv
392|Ajustări pentru deprecierea materialelor|Nespecificat
3921|Ajustări pentru deprecierea materialelor consumabile|Pasiv
3922|Ajustări pentru deprecierea materialelor de natura obiectelor de inventar|Pasiv
393|Ajustări pentru deprecierea producţiei în curs de execuţie|Pasiv
394|Ajustări pentru deprecierea produselor|Nespecificat
3941|Ajustări pentru deprecierea semifabricatelor|Pasiv
3945|Ajustări pentru deprecierea produselor finite|Pasiv
3946|Ajustări pentru deprecierea produselor reziduale|Pasiv
3947|Ajustări pentru deprecierea produselor agricole|Pasiv
395|Ajustări pentru deprecierea stocurilor aflate la terţi|Nespecificat
3951|Ajustări pentru deprecierea materiilor şi materialelor aflate la terţi|Pasiv
3952|Ajustări pentru deprecierea semifabricatelor aflate la terţi|Pasiv
3953|Ajustări pentru deprecierea produselor finite aflate la terţi|Pasiv
3954|Ajustări pentru deprecierea produselor reziduale aflate la terţi|Pasiv
3955|Ajustări pentru deprecierea produselor agricole aflate la terţi|Pasiv
3956|Ajustări pentru deprecierea activelor biologice de natura stocurilor aflate la terţi|Pasiv
3957|Ajustări pentru deprecierea mărfurilor aflate la terţi|Pasiv
3958|Ajustări pentru deprecierea ambalajelor aflate la terţi|Pasiv
396|Ajustări pentru deprecierea activelor biologice de natura stocurilor|Pasiv
397|Ajustări pentru deprecierea mărfurilor|Pasiv
398|Ajustări pentru deprecierea ambalajelor|Pasiv
4|Conturi de terţi|Nespecificat
40|Furnizori şi conturi asimilate|Nespecificat
401|Furnizori|Pasiv
403|Efecte de plătit|Pasiv
404|Furnizori de imobilizări|Pasiv
405|Efecte de plătit pentru imobilizări|Pasiv
408|Furnizori - facturi nesosite|Pasiv
409|Furnizori - debitori|Nespecificat
4091|Furnizori - debitori pentru cumpărări de bunuri de natura stocurilor|Activ
4092|Furnizori - debitori pentru prestări de servicii|Activ
4093|Avansuri acordate pentru imobilizări corporale|Activ
4094|Avansuri acordate pentru imobilizări necorporale|Activ
41|Clienţi şi conturi asimilate|Nespecificat
411|Clienţi|Nespecificat
4111|Clienţi|Activ
4118|Clienţi incerţi sau în litigiu|Activ
413|Efecte de primit de la clienţi|Activ
418|Clienţi - facturi de întocmit|Activ
419|Clienţi - creditori|Pasiv
42|Personal şi conturi asimilate|Nespecificat
421|Personal - salarii datorate|Pasiv
423|Personal - ajutoare materiale datorate|Pasiv
424|Prime reprezentând participarea personalului la profit|Pasiv
425|Avansuri acordate personalului|Activ
426|Drepturi de personal neridicate|Pasiv
427|Reţineri din salarii datorate terţilor|Pasiv
428|Alte datorii şi creanţe în legătură cu personalul|Nespecificat
4281|Alte datorii în legătură cu personalul|Pasiv
4282|Alte creanţe în legătură cu personalul|Activ
43|Asigurări sociale, protecţia socială şi conturi asimilate|Nespecificat
431|Asigurări sociale|Nespecificat
4311|Contribuţia unităţii la asigurările sociale|Pasiv
4312|Contribuţia personalului la asigurările sociale|Pasiv
4313|Contribuţia angajatorului pentru asigurările sociale de sănătate|Pasiv
4314|Contribuţia angajaţilor pentru asigurările sociale de sănătate|Pasiv
4315|Contribuţia de asigurări sociale|Pasiv
4316|Contribuţia de asigurări sociale de sănătate|Pasiv
4318|Alte contribuţii pentru asigurările sociale de sănătate1|Nespecificat
436|Contribuţia asiguratorie pentru muncă|Pasiv
437|Ajutor de şomaj|Nespecificat
4371|Contribuţia unităţii la fondul de şomaj|Pasiv
4372|Contribuţia personalului la fondul de şomaj|Pasiv
438|Alte datorii şi creanţe sociale|Nespecificat
4381|Alte datorii sociale|Pasiv
4382|Alte creanţe sociale|Activ
44|Bugetul statului, fonduri speciale şi conturi asimilate|Nespecificat
441|Impozitul pe profit şi alte impozite|Nespecificat
4411|Impozitul pe profit|Pasiv
4415|Impozitul specific unor activităţi|Pasiv
4418|Impozitul pe venit|Pasiv
442|Taxa pe valoarea adăugată|Nespecificat
4423|TVA de plată|Pasiv
4424|TVA de recuperat|Activ
4426|TVA deductibilă|Activ
4427|TVA colectată|Pasiv
4428|TVA neexigibilă|Bifunctional
444|Impozitul pe venituri de natura salariilor|Pasiv
445|Subvenţii|Nespecificat
4451|Subvenţii guvernamentale|Activ
4452|Împrumuturi nerambursabile cu caracter de subvenţii|Activ
4458|Alte sume primite cu caracter de subvenţii|Activ
446|Alte impozite, taxe şi vărsăminte asimilate|Pasiv
447|Fonduri speciale - taxe şi vărsăminte asimilate|Pasiv
448|Alte datorii şi creanţe cu bugetul statului|Nespecificat
4481|Alte datorii faţă de bugetul statului|Pasiv
4482|Alte creanţe privind bugetul statului|Activ
45|Grup şi acţionari/asociaţi|Nespecificat
451|Decontări între entităţile afiliate|Nespecificat
4511|Decontări între entităţile afiliate|Bifunctional
4518|Dobânzi aferente decontărilor între entităţile afiliate|Bifunctional
453|Decontări cu entităţile asociate şi entităţile controlate în comun|Nespecificat
4531|Decontări cu entităţile asociate şi entităţile controlate|Nespecificat
4538|Dobânzi aferente decontărilor cu entităţile asociate şi entităţile controlate în comun|Bifunctional
455|Sume datorate acţionarilor/asociaţilor|Nespecificat
4551|Acţionari/Asociaţi - conturi curente|Pasiv
4558|Acţionari/Asociaţi - dobânzi la conturi curente|Pasiv
456|Decontări cu acţionarii/asociaţii privind capitalul|Bifunctional
457|Dividende de plată|Pasiv
458|Decontări din operaţiuni în participaţie|Nespecificat
4581|Decontări din operaţiuni în participaţie - pasiv|Pasiv
4582|Decontări din operaţiuni în participaţie - activ|Activ
46|Debitori şi creditori diverşi|Nespecificat
461|Debitori diverşi|Activ
462|Creditori diverşi|Pasiv
463|Creanţe reprezentând dividende repartizate în cursul exerciţiului financiar|Activ
466|Decontări din operaţiuni de fiducie|Nespecificat
4661|Datorii din operaţiuni de fiducie|Pasiv
4662|Creanţe din operaţiuni de fiducie|Activ
47|Conturi de subvenţii, regularizare şi asimilate|Nespecificat
471|Cheltuieli înregistrate în avans|Activ
472|Venituri înregistrate în avans|Pasiv
473|Decontări din operaţiuni în curs de clarificare|Bifunctional
475|Subvenţii pentru investiţii|Nespecificat
4751|Subvenţii guvernamentale pentru investiţii|Pasiv
4752|Împrumuturi nerambursabile cu caracter de subvenţii pentru investiţii|Pasiv
4753|Donaţii pentru investiţii|Pasiv
4754|Plusuri de inventar de natura imobilizărilor|Pasiv
4758|Alte sume primite cu caracter de subvenţii pentru investiţii|Pasiv
478|Venituri în avans aferente activelor primite prin transfer de la clienţi|Pasiv
48|Decontări în cadrul unităţii|Nespecificat
481|Decontări între unitate şi subunităţi|Bifunctional
482|Decontări între subunităţi|Bifunctional
49|Ajustări pentru deprecierea creanţelor|Nespecificat
490|Ajustări pentru deprecierea creanţelor reprezentând avansuri acordate furnizorilor|Nespecificat
4901|Ajustări pentru deprecierea creanţelor aferente cumpărărilor de bunuri de natura stocurilor|Pasiv
4902|Ajustări pentru deprecierea creanţelor aferente prestărilor de servicii|Pasiv
4903|Ajustări pentru deprecierea creanţelor aferente imobilizărilor corporale|Pasiv
4904|Ajustări pentru deprecierea creanţelor aferente imobilizărilor necorporale|Pasiv
491|Ajustări pentru deprecierea creanţelor - clienţi|Pasiv
495|Ajustări pentru deprecierea creanţelor - decontări în cadrul grupului şi cu acţionarii/asociaţii|Pasiv
496|Ajustări pentru deprecierea creanţelor - debitori diverşi|Pasiv
5|Conturi de trezorerie|Nespecificat
50|Investiţii pe termen scurt|Nespecificat
501|Acţiuni deţinute la entităţile afiliate|Activ
505|Obligaţiuni emise şi răscumpărate|Activ
506|Obligaţiuni|Activ
507|Certificate verzi primite|Activ
508|Alte investiţii pe termen scurt şi creanţe asimilate|Nespecificat
5081|Alte titluri de plasament|Activ
5088|Dobânzi la obligaţiuni şi titluri de plasament|Activ
509|Vărsăminte de efectuat pentru investiţiile pe termen scurt|Nespecificat
5091|Vărsăminte de efectuat pentru acţiunile deţinute la entităţile afiliate|Pasiv
5092|Vărsăminte de efectuat pentru alte investiţii pe termen scurt|Pasiv
51|Conturi la bănci|Nespecificat
511|Valori de încasat|Nespecificat
5112|Cecuri de încasat|Activ
5113|Efecte de încasat|Activ
5114|Efecte remise spre scontare|Activ
512|Conturi curente la bănci|Nespecificat
5121|Conturi la bănci în lei|Activ
5124|Conturi la bănci în valută|Activ
5125|Sume în curs de decontare|Activ
5126|Conturi la bănci în lei - TVA defalcat|Activ
5127|Conturi la bănci în valută - TVA defalcat|Activ
518|Dobânzi|Nespecificat
5186|Dobânzi de plătit|Pasiv
5187|Dobânzi de încasat|Activ
519|Credite bancare pe termen scurt|Nespecificat
5191|Credite bancare pe termen scurt|Pasiv
5192|Credite bancare pe termen scurt nerambursate la scadenţă|Pasiv
5193|Credite externe guvernamentale|Pasiv
5194|Credite externe garantate de stat|Pasiv
5195|Credite externe garantate de bănci|Pasiv
5196|Credite de la Trezoreria Statului|Pasiv
5197|Credite interne garantate de stat|Pasiv
5198|Dobânzi aferente creditelor bancare pe termen scurt|Pasiv
53|Casa|Nespecificat
531|Casa|Nespecificat
5311|Casa în lei|Activ
5314|Casa în valută|Activ
532|Alte valori|Nespecificat
5321|Timbre fiscale şi poştale|Activ
5322|Bilete de tratament şi odihnă|Activ
5323|Tichete şi bilete de călătorie|Activ
5328|Alte valori|Activ
54|Acreditive|Nespecificat
541|Acreditive|Nespecificat
5411|Acreditive în lei|Activ
5414|Acreditive în valută|Activ
542|Avansuri de trezorerie|Activ
58|Viramente interne|Nespecificat
581|Viramente interne|Bifunctional
59|Ajustări pentru pierderea de valoare a conturilor de trezorerie|Nespecificat
591|Ajustări pentru pierderea de valoare a acţiunilor deţinute la entităţile afiliate|Pasiv
595|Ajustări pentru pierderea de valoare a obligaţiunilor emise şi răscumpărate|Pasiv
596|Ajustări pentru pierderea de valoare a obligaţiunilor|Pasiv
598|Ajustări pentru pierderea de valoare a altor investiţii pe termen scurt şi creanţe asimilate|Pasiv
6|Conturi de cheltuieli|Nespecificat
60|Cheltuieli privind stocurile|Nespecificat
601|Cheltuieli cu materiile prime|Nespecificat
602|Cheltuieli cu materialele consumabile|Nespecificat
6021|Cheltuieli cu materialele auxiliare|Nespecificat
6022|Cheltuieli privind combustibilii|Nespecificat
6023|Cheltuieli privind materialele pentru ambalat|Nespecificat
6024|Cheltuieli privind piesele de schimb|Nespecificat
6025|Cheltuieli privind seminţele şi materialele de plantat|Nespecificat
6026|Cheltuieli privind furajele|Nespecificat
6028|Cheltuieli privind alte materiale consumabile|Nespecificat
603|Cheltuieli privind materialele de natura obiectelor de inventar|Nespecificat
604|Cheltuieli privind materialele nestocate|Nespecificat
605|Cheltuieli privind energia şi apa|Nespecificat
606|Cheltuieli privind activele biologice de natura stocurilor|Nespecificat
607|Cheltuieli privind mărfurile|Nespecificat
608|Cheltuieli privind ambalajele|Nespecificat
609|Reduceri comerciale primite|Nespecificat
61|Cheltuieli cu serviciile executate de terţi|Nespecificat
611|Cheltuieli cu întreţinerea şi reparaţiile|Nespecificat
612|Cheltuieli cu redevenţele, locaţiile de gestiune şi chiriile|Nespecificat
613|Cheltuieli cu primele de asigurare|Nespecificat
614|Cheltuieli cu studiile şi cercetările|Nespecificat
615|Cheltuieli cu pregătirea personalului|Nespecificat
62|Cheltuieli cu alte servicii executate de terţi|Nespecificat
621|Cheltuieli cu colaboratorii|Nespecificat
622|Cheltuieli privind comisioanele şi onorariile|Nespecificat
623|Cheltuieli de protocol, reclamă şi publicitate|Nespecificat
6231|Cheltuieli de protocol|Nespecificat
6232|Cheltuieli de reclamă şi publicitate|Nespecificat
624|Cheltuieli cu transportul de bunuri şi personal|Nespecificat
625|Cheltuieli cu deplasări, detaşări şi transferări|Nespecificat
626|Cheltuieli poştale şi taxe de telecomunicaţii|Nespecificat
627|Cheltuieli cu serviciile bancare şi asimilate|Nespecificat
628|Alte cheltuieli cu serviciile executate de terţi|Nespecificat
63|Cheltuieli cu alte impozite, taxe şi vărsăminte asimilate|Nespecificat
635|Cheltuieli cu alte impozite, taxe şi vărsăminte asimilate|Nespecificat
64|Cheltuieli cu personalul|Nespecificat
641|Cheltuieli cu salariile personalului|Nespecificat
642|Cheltuieli cu avantajele în natură şi tichetele acordate salariaţilor|Nespecificat
6421|Cheltuieli cu avantajele în natură acordate salariaţilor|Nespecificat
6422|Cheltuieli cu tichetele acordate salariaţilor|Nespecificat
643|Cheltuieli cu remunerarea în instrumente de capitaluri proprii|Nespecificat
644|Cheltuieli cu primele reprezentând participarea personalului la profit|Nespecificat
645|Cheltuieli privind asigurările şi protecţia socială|Nespecificat
6451|Cheltuiei privind contribuţia unităţii la asigurările sociale|Nespecificat
6452|Cheltuiei privind contribuţia unităţii pentru ajutorul de şomaj|Nespecificat
6453|Cheltuiei privind contribuţia angajatorului pentru asigurările sociale de sănătate|Nespecificat
6455|Cheltuiei privind contribuţia unităţii la asigurările de viaţă|Nespecificat
6456|Cheltuiei privind contribuţia unităţii la fondurile de pensii facultative|Nespecificat
6457|Cheltuiei privind contribuţia unităţii la primele de asigurare voluntară de sănătate|Nespecificat
6458|Alte cheltuieli privind asigurările şi protecţia socială|Nespecificat
646|Cheltuieli privind contribuţia asiguratorie pentru muncă|Nespecificat
65|Alte cheltuieli de exploatare|Nespecificat
651|Cheltuieli din operaţiuni de fiducie|Nespecificat
6511|Cheltuieli ocazionate de constituirea fiduciei|Nespecificat
6512|Cheltuieli din derularea operaţiunilor de fiducie|Nespecificat
6513|Cheltuieli din lichidarea operaţiunilor de fiducie|Nespecificat
6865|Cheltuieli financiare privind amortizarea diferenţelor aferente titlurilor de stat|Nespecificat
652|Cheltuieli cu protecţia mediului înconjurător|Nespecificat
654|Pierderi din creanţe şi debitori diverşi|Nespecificat
655|Cheltuieli din reevaluarea imobilizărilor corporale|Nespecificat
658|Alte cheltuieli de exploatare|Nespecificat
6581|Despăgubiri, amenzi şi penalităţi|Nespecificat
6582|Donaţii acordate|Nespecificat
6583|Cheltuieli privind activele cedate şi alte operaţiuni de capital|Nespecificat
6584|Cheltuieli cu sumele sau bunurile acordate ca sponsorizări1|Nespecificat
6586|Cheltuieli reprezentând transferuri şi contribuţii datorate în baza unor acte normative speciale|Nespecificat
6587|Cheltuieli privind calamităţile şi alte evenimente similare|Nespecificat
6588|Alte cheltuieli de exploatare|Nespecificat
66|Cheltuieli financiare|Nespecificat
663|Pierderi din creanţe legate de participaţii|Nespecificat
664|Cheltuieli privind investiţiile financiare cedate|Nespecificat
6641|Cheltuieli privind imobilizările financiare cedate|Nespecificat
6642|Pierderi din investiţiile pe termen scurt cedate|Nespecificat
665|Cheltuieli din diferenţe de curs valutar|Nespecificat
6651|Diferenţe nefavorabile de curs valutar legate de elementele monetare exprimate în valută|Nespecificat
6652|Diferenţe nefavorabile de curs valutar din evaluarea elementelor monetare care fac parte din investiţia netă într-o entitate străină|Nespecificat
666|Cheltuieli privind dobânzile|Nespecificat
667|Cheltuieli privind sconturile acordate|Nespecificat
