Data,Document,Descriere,Cont Debit,Cont Credit,Suma Debit,Suma Credit
2023-12-22,Ordin de plata,Plată datorii salariati,447,5121,38.00,38.00
2023-12-22,Extras bancar,Comision bancar,627,5121,40.00,40.00
2023-12-22,Dispozitie de incasare,Incasare numerar din creanță,5311,461,17850.00,17850.00
2023-12-22,Factura avans,Înregistrare factură avans,4091,4011,3000.00,3000.00
2023-12-22,Factura avans,Înregistrare factură avans TVA,4426,4011,570.00,570.00
2023-12-22,Ordin de plata,Plata factură avans,4011,5121,3570.00,3570.00
2023-12-22,Factura vanzare,Vânzare produs finit,4111,7015,10000.00,10000.00
2023-12-22,Factura vanzare,Vânzare produs finit TVA,4111,4427,1900.00,1900.00
22/12/2023,bon de livrare,Livrare produse afinite,711,345,3500.00,3500.00
2023-12-27,Bilet la ordin,Acceptare bilet la ordin,413,4111,11900.00,11900.00
2023-12-28,Factura de vanzare,Înregistrare factură externă,4111,707,39200.00,39200.00
2023-12-28,Bon de livrare,Livrare mărfuri din stoc,607,371,15000.00,15000.00
2023-12-28,Chitanta,Plată factură leasing I/comision bancar,404,5121,3498.00,3498.00
2023-12-28,Chitanta,Plată factură leasing I/comision bancar,627,5121,15.00,15.00
2023-12-28,Factura de vanzare,Factură de servicii,4111,704,50000.00,50000.00
2023-12-29,Factura de vanzare,Factură de servicii,4111,4427,9500.00,9500.00
2023-12-31,,Încasare dobânzii,5121,766,10.00,10.00
2023-12-31,Extras bancar,Comision bancar,627,5121,50.00,50.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2812,300.00,300.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2813,500.00,500.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2808,100.00,100.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2814,100.00,100.00
2023-12-31,,Înregistrare ștat de salarii,641,421,11500.00,11500.00
2023-12-31,,Înregistrare ștat de salarii,421,4315,2875.00,2875.00
2023-12-31,,Înregistrare ștat de salarii,421,4316,1150.00,1150.00
2023-12-31,Ștat de plata,,421,444,663.00,663.00
2023-12-31,Ștat de plata,,6461,436,259.00,259.00
2023-12-31,Ștat de plata,Lipsa inventar,601,301,400.00,400.00
2023-12-31,Nota contabila,Ajustare inventar,635,4426,76.00,76.00
2023-12-31,,Depreciere marfurilor,6814,397,1000.00,1000.00
2023-12-31,,Reevaluarea cheltuielilor de ajustare deprecieri,2961,7863,50000.00,50000.00
2023-12-31,Ștat de plata,Acțiuniile din portofoliu,6864,698,150.00,150.00
2023-12-31,Notă contabilă,Actualizare creanta externa,4112,7651,46.69,46.69
2023-12-31,Notă contabilă,Actualizare creanta externa,4112,7651,800.00,800.00
2023-12-31,Notă contabilă,Actualizare creanta externa,6651,401,140.00,140.00
2023-12-31,Notă contabilă,Actualizare creanta externa,6651,401,1870.00,1870.00
2023-12-31,Notă contabilă,Actualizare creanta externa,668,167,6240.00,6240.00
